Code,Name,Description,,,,,
1025,NMSC,Pemb.Tagihan/Bill Payment Cash,,,,,
1026,NMSC,Advance Payment against Credit Card,,,,,
1030,NMSC,CASA. OD. Amount Writeoff Debit,,,,,
1031,NMSC,CASA. OD. Amount Writeoff Credit,,,,,
1032,NMSC,CASA. OD. Prov. Debit,,,,,
1033,NMSC,CASA. OD. Amount Writeoff AST. Credit,,,,,
1036,NMSC,CASA. SC. Amount Writeoff Debit,,,,,
1055,NMSC,Earmark Transaction,,,,,
1060,NMSC,GL. Miscellaneous Debit,,,,,
1065,NMSC,Byr Angs/Instal Pmt By Xfer,,,,,
1066,NMSC,Lns sbgn /Partial Pay Off,,,,,
1067,NMSC,Lns Pinj/EFS ,,,,,
1068,NMSC,LN. Advance Payment,,,,,
1069,NMSC,Batal cair /LN Rescission,,,,,
1070,NMSC,LN. Advance Future Payment,,,,,
1072,NMSC,Rev LN Installment Payment By Xfer.,,,,,
1075,NMSC,Pemb.Tagihan/Bill Payment,,,,,
1076,NMSC,Utility Payment From GEFU.,,,,,
1077,NMSC,Utility Payment From GEFU.,,,,,
1078,NMSC,Recovery of Repossessed Asset through Xfer,,,,,
1080,NMSC,Record Confirmation,,,,,
1081,NMSC,Installment Payment By GL.,,,,,
1082,NMSC,Partial Payoff By GL.,,,,,
1083,NMSC,LN. Settlement By GL.,,,,,
1084,NMSC,LN. Advance Payment By GL.,,,,,
1085,NMSC,LN. Disbursement To GL. Credit,,,,,
1086,NMSC,LN. Payment By GL,,,,,
1087,NMSC,Revolving LN. Debit To GL. Credit,,,,,
1088,NMSC,Rev Installment Payment By GL.,,,,,
1089,NMSC,LN. Rescission By GL.,,,,,
1096,NMSC,LN. Advance Future Payment By GL.,,,,,
1097,NMSC,Recovery of Repossessed Asset through GL Xfer,,,,,
1098,NMSC,Backdated Refund to GL,,,,,
1099,NMSC,TX_MNEM_REPOSSESS_FULL_STLMNT,,,,,
1100,NMSC,LN. Product Xfer.,,,,,
1111,NMSC,IV Gl entry,,,,,
1300,NMSC,Closeout Withdrawal By BC.,,,,,
1301,NMSC,Tutup Rek/Closeout  By Cash,,,,,
1302,NMSC,Bg. Dep/TD. Int. -Cash,,,,,
1303,NMSC,Cair Dep/TD Redempt. Cash,,,,,
